Title,Description,Link
सरकार ने PM इंटर्नशिप स्कीम के लिए ऐप लॉन्च किया:,"योजना के तहत इंटर्न को ₹5,000 महीना मिलेगा, आवेदन की आखिरी तारीख 31 मार्च",https://your-news-website.com/business/news/government-launches-mobile-app-for-pm-internship-scheme-134658574.html
"सोना ₹1,258 बढ़कर ₹88,101 के ऑल टाइम हाई पर:","76 दिन में ₹11,939 दाम बढ़े; चांदी ₹1,445 बढ़कर ₹99,767 प्रति किलो हुई1:25",https://your-news-website.com/business/news/gold-and-silver-prices-at-all-time-high-gold-price-increased-by-1048-to-87891-silver-became-costlier-by-1363-to-99685-per-kg-134657100.html
"सोना ₹1,258 बढ़कर ₹88,101 के ऑल टाइम हाई पर:","76 दिन में ₹11,939 दाम बढ़े; चांदी ₹1,445 बढ़कर ₹99,767 प्रति किलो हुई1:25",https://your-news-website.com/business/news/gold-and-silver-prices-at-all-time-high-gold-price-increased-by-1048-to-87891-silver-became-costlier-by-1363-to-99685-per-kg-134657100.html
"सेंसेक्स 361 अंक चढ़कर 74,190 पर बंद:","निफ्टी में 111 अंकों की तेजी रही, 22,508 पर बंद; बैंक, फार्मा और ऑटो शेयर चढ़े",https://your-news-website.com/business/news/sensex-rises-sensex-nifty-live-updates-134656279.html
गौतम और राजेश अडाणी को बॉम्बे हाई-कोर्ट से क्लीन चिट:,"मार्केट रेगुलेशन उल्लंघन मामले में बरी हुए, ₹388 करोड़ के फ्रॉड का आरोप था",https://your-news-website.com/business/news/gautam-adani-and-brother-rajesh-get-court-relief-in-rs-388-crore-cheating-case-134657589.html
फरवरी में थोक महंगाई बढ़कर 2.38% पर पहुंची:,फूड प्रोडक्ट्स मैन्युफैक्चरिंग कॉस्ट बढ़ने से महंगाई बढ़ी; जनवरी में 2.31% पर थी1:24,https://your-news-website.com/business/news/wholesale-inflation-rose-in-february-134656841.html
फरवरी में व्यापार घाटा कम होकर ₹1.21 लाख करोड़ हुआ:,"ये अगस्त 2021 के बाद सबसे कम, देश में इंपोर्ट 13.59% घटा",https://your-news-website.com/business/news/indias-trade-deficit-narrows-to-14-05-bn-in-february-134657923.html
मारुति ने इस साल तीसरी बार बढ़ाई कारों की कीमत:,"अगले महीने से 4% महंगी होंगी कारें, रॉ मटेरियल कॉस्ट बढ़ने के कारण फैसला लिया1:28",https://your-news-website.com/business/news/maruti-cars-will-be-more-expensive-from-april-134656570.html
ओला का शेयर 8% गिरकर 47 रुपए पर आया:,सब्सिडियरी कंपनी पर पेमेंट रोकने का आरोप; दिवालिया कार्यवाही के लिए याचिका दायर,https://your-news-website.com/business/news/ola-electric-share-price-drops-6-amid-insolvency-proceedings-134656943.html
इंडसइंड का शेयर 5% उछाल के बाद फ्लेट बंद हुआ:,RBI ने बैंक की फाइनेंशियल कंडीशन स्टेबल बताई; गड़बड़ी के बाद 27% गिरा था शेयर,https://your-news-website.com/business/news/indusind-bank-share-price-jumps-5-after-rbi-statement-134656470.html
PM सूर्य घर स्कीम से 10 लाख सोलर प्लांट लगे:,"विदेशी निवेशकों ने 15 दिनों में ₹30,015 करोड़ और 2025 में ₹1.42 लाख करोड़ के शेयर्स बेचे",https://your-news-website.com/business/news/foreign-investors-sold-shares-worth-30015-crore-in-15-days-134652488.html
इंपैक्ट फीचर:,"VI-John हेल्थकेयर इंडिया ने महाकुंभ के दौरान पर्सनल ग्रूमिंग का अभियान चलाया, एशिया बुक ऑफ रिकॉर्ड्स में नाम दर्ज",https://your-news-website.com/business/news/maha-kumbh-2025-vi-john-healthcare-india-asia-book-records-134658113.html
"विदेशी-निवेशकों ने 15 दिन में बाजार से ₹30,015 करोड़ निकाले:","2025 में ₹1.42 लाख करोड़ के शेयर्स बेचे, कॉरपोरेट इनकम ग्रोथ में चिंताओं से यह बिकवाली",https://your-news-website.com/business/news/fiis-withdrew-30015-crore-from-indian-markets-in-march-134651526.html
PM सूर्य घर योजना में 10 लाख सोलर प्लांट लगे:,"1 करोड़ है टारगेट, स्कीम से घरों को 300 यूनिट फ्री बिजली और ₹15,000 सालाना इनकम",https://your-news-website.com/business/news/rooftop-installations-under-pm-surya-ghar-muft-bijli-yojana-cross-10-lakh-134651346.html
पेट्रोल-डीजल के दाम में आज कोई बदलाव नहीं:,"इंडसइंड बैंक की वित्तीय स्थिति अच्छी, टॉप-10 कंपनियों में 5 की वैल्यू ₹93,358 करोड़ कम हुई",https://your-news-website.com/business/news/business-news-update-share-market-gold-silver-rate-petrol-diesel-rbi-indusind-bank-134647495.html
RBI ने कहा- इंडसइंड बैंक के पास पर्याप्त कैपिटल:,"बैंक की फाइनेंशियल कंडीशन भी स्टेबल, डिपॉजिटर्स को चिंता करने की जरूरत नहीं",https://your-news-website.com/business/news/rbi-said-indusind-bank-well-capitalized-financial-position-remains-satisfactory-134647383.html
एरिसइंफ्रा सॉल्यूशंस का IPO 20 मार्च को ओपन होगा:,"25 मार्च तक बिडिंग कर सकेंगे निवेशक, मिनिमम इन्वेस्टमेंट ₹14,700",https://your-news-website.com/business/news/arisinfra-solutions-ipo-will-open-on-march-20-134646378.html
"टॉप-10 कंपनियों में 5 की वैल्यू ₹​​​​​​​93,358 करोड़ कम हुई:","इंफोसिस टॉप लूजर, मार्केट वैल्यू ₹44,227 करोड़ गिरी; ICICI बैंक की ₹25,459 करोड़ बढ़ी",https://your-news-website.com/business/news/value-of-5-of-the-top-10-companies-decreased-by-93358-crores-134645506.html
"इस हफ्ते सोना ₹784 और चांदी ₹1,598 महंगी हुई:","सोने के भाव ₹86,843 के ऑल टाइम हाई पर; 72 दिन में 10,681 रुपए महंगा हुआ1:05",https://your-news-website.com/business/news/this-week-gold-became-costlier-by-784-and-silver-by-1598-gold-silver-price-last-week-134645237.html
स्टारलिंक की एंट्री से पहले केंद्र ने शर्तें रखीं:,"एक हफ्ते में भारत का गोल्ड रिजर्व ₹8,700 करोड़ बढ़कर ₹6.46 लाख करोड़ हुआ",https://your-news-website.com/business/news/center-laid-down-conditions-before-starlinks-entry-134644579.html
भारत का विदेशी मुद्रा भंडार ₹1.33 लाख करोड़ बढ़ा:,"एक हफ्ते में ₹56.86 लाख करोड़ पर पहुंचा, गोल्ड रिजर्व ₹8,700 करोड़ बढ़कर ₹6.46 लाख करोड़ हुआ",https://your-news-website.com/business/news/indias-foreign-exchange-reserves-increased-by-133-lakh-crore-in-a-week-134644540.html
स्टारलिंक की एंट्री से पहले केंद्र ने शर्तें रखीं:,"भारत में कंट्रोल सेंटर बनाना जरूरी, सुरक्षा एजेंसियों को कॉल इंटरसेप्शन की परमिशन देनी होगी1:00",https://your-news-website.com/business/news/central-governments-conditions-before-starlinks-entry-134643560.html
